latitude,longitude,brightness,acq_date
43.8235,-119.1197,314.1,2024-01-01
42.9951,-121.3537,318.2,2024-01-03
42.5133,-121.8346,305.0,2024-01-03
42.5256,-121.8234,305.2,2024-01-03
42.5229,-121.8382,337.1,2024-01-03
43.0044,-121.3571,314.9,2024-01-03
43.0019,-121.3712,308.9,2024-01-03
43.0014,-121.3602,321.7,2024-01-04
42.999,-121.3744,328.3,2024-01-04
44.7327,-119.9404,315.0,2024-01-04
42.9921,-121.3568,304.2,2024-01-04
42.5176,-121.8337,308.8,2024-01-05
42.5185,-121.8504,300.4,2024-01-05
42.5216,-121.8563,303.1,2024-01-05
42.365,-121.9324,314.9,2024-01-07
43.2662,-124.0504,302.5,2024-01-15
42.2127,-122.8651,302.3,2024-01-25
42.2237,-122.8373,303.3,2024-01-28
42.3512,-119.7411,304.3,2024-01-29
43.9436,-121.0515,312.6,2024-01-29
43.9408,-121.0663,313.9,2024-01-29
42.147,-121.9426,314.6,2024-02-01
42.1453,-121.9544,315.8,2024-02-01
45.2279,-123.1677,300.5,2024-02-01
43.3382,-123.0612,307.0,2024-02-03
42.2398,-122.8612,309.0,2024-02-06
42.2307,-122.8593,311.0,2024-02-06
42.3282,-123.0112,312.1,2024-02-08
42.2233,-122.8614,312.5,2024-02-08
42.4762,-122.9041,317.2,2024-02-08
42.223,-120.5217,324.3,2024-02-10
42.2294,-122.8708,305.1,2024-02-10
42.2281,-122.8653,306.2,2024-02-10
45.8625,-117.5675,300.1,2024-02-10
42.5534,-122.7101,311.4,2024-02-13
42.2872,-122.9618,309.7,2024-02-13
42.5518,-122.7219,308.8,2024-02-13
46.1302,-122.4063,307.1,2024-02-14
42.0403,-123.5636,314.9,2024-02-21
42.3775,-120.2924,303.3,2024-02-24
44.8891,-119.8088,300.7,2024-02-24
42.2199,-120.5228,336.3,2024-02-25
42.2182,-120.537,327.6,2024-02-25
42.2294,-120.5251,330.1,2024-02-25
46.2758,-119.821,306.2,2024-03-04
46.2702,-119.8254,308.4,2024-03-04
45.7462,-120.2333,302.5,2024-03-05
44.4818,-119.8226,306.3,2024-03-07
46.0132,-119.8885,303.5,2024-03-07
45.226,-123.1701,304.2,2024-03-08
42.2298,-122.8375,311.6,2024-03-09
43.7664,-117.0444,303.6,2024-03-12
43.3081,-116.4874,308.7,2024-03-13
43.8292,-117.0953,300.5,2024-03-13
42.2316,-122.8413,306.2,2024-03-13
45.2318,-123.1687,300.4,2024-03-14
45.8895,-119.5813,314.4,2024-03-14
45.5639,-117.5147,302.3,2024-03-14
43.7644,-116.8682,309.1,2024-03-14
44.0332,-116.9341,305.7,2024-03-14
42.2264,-122.8473,304.1,2024-03-15
43.6594,-121.5014,301.0,2024-03-15
44.8711,-121.0775,310.8,2024-03-15
45.7062,-119.4562,308.4,2024-03-15
45.7111,-122.7264,307.4,2024-03-15
46.2866,-118.1777,305.5,2024-03-15
45.0663,-119.8672,324.0,2024-03-16
45.0645,-119.8549,309.9,2024-03-16
44.3556,-117.6555,306.4,2024-03-16
44.0778,-120.9689,309.7,2024-03-16
42.3458,-123.0231,300.1,2024-03-16
42.3442,-123.0109,302.5,2024-03-16
43.9842,-117.355,311.1,2024-03-16
43.8774,-120.4661,306.6,2024-03-16
45.945,-118.4787,309.7,2024-03-17
43.9004,-120.4575,303.8,2024-03-17
43.8886,-120.4346,303.7,2024-03-17
43.8963,-120.4665,325.6,2024-03-17
43.9658,-117.3501,310.7,2024-03-17
43.8847,-120.4556,317.1,2024-03-17
43.8828,-120.4679,357.0,2024-03-17
43.8809,-120.4802,327.8,2024-03-17
43.879,-120.4925,318.5,2024-03-17
43.8938,-120.4651,314.6,2024-03-17
44.4885,-118.0107,314.1,2024-03-17
44.4868,-118.0234,317.3,2024-03-17
44.8304,-120.6583,308.7,2024-03-17
44.8284,-120.6708,313.2,2024-03-17
45.5042,-117.425,310.6,2024-03-17
45.1653,-122.9129,305.7,2024-03-17
45.4242,-122.2864,306.0,2024-03-17
45.8872,-121.3934,304.1,2024-03-17
44.0344,-119.5841,314.5,2024-03-18
44.0327,-119.57,316.2,2024-03-18
46.2837,-119.8169,318.2,2024-03-18
46.2821,-119.8012,333.6,2024-03-18
44.7999,-122.6162,301.5,2024-03-18
44.0935,-119.3111,308.3,2024-03-18
44.0919,-119.2976,307.7,2024-03-18
44.0482,-119.5749,338.3,2024-03-18
44.0389,-119.5771,361.1,2024-03-18
44.0297,-119.5924,302.3,2024-03-18
43.7464,-123.6586,317.3,2024-03-18
43.7355,-123.6567,327.8,2024-03-18
45.2323,-123.1631,304.1,2024-03-19
45.4315,-122.2873,302.7,2024-03-19
43.8489,-117.0066,307.9,2024-03-19
45.0749,-123.391,302.8,2024-03-19
44.0388,-119.5907,340.9,2024-03-19
44.0373,-119.5749,306.3,2024-03-19
44.0305,-119.6002,314.6,2024-03-19
44.8595,-123.003,303.6,2024-03-19
44.1063,-119.3498,307.5,2024-03-19
44.3472,-121.0358,316.5,2024-03-19
44.0414,-119.595,330.2,2024-03-19
44.0352,-119.5948,340.5,2024-03-19
44.0323,-119.6101,328.9,2024-03-19
43.4367,-122.7826,313.2,2024-03-19
44.4866,-117.7382,309.8,2024-03-19
44.6432,-117.2919,312.0,2024-03-19
44.4218,-120.8043,305.9,2024-03-19
44.4186,-120.8208,307.2,2024-03-19
45.4409,-118.0,314.5,2024-03-19
45.4387,-118.0132,327.1,2024-03-19
44.1076,-119.3545,317.6,2024-03-20
44.0358,-119.5947,325.9,2024-03-20
44.1093,-119.3763,308.9,2024-03-20
44.4199,-120.8,303.7,2024-03-20
43.736,-116.9981,314.9,2024-03-20
43.7341,-117.0241,318.6,2024-03-20
45.9166,-119.0785,331.6,2024-03-20
45.9148,-119.1004,363.9,2024-03-20
44.4177,-121.0078,321.7,2024-03-21
44.4196,-121.0202,350.0,2024-03-21
42.9696,-120.7354,336.5,2024-03-21
43.3126,-120.5332,313.4,2024-03-21
43.3093,-120.5388,323.7,2024-03-21
46.1852,-119.9269,314.6,2024-03-26
44.5205,-122.9609,300.6,2024-03-26
46.2875,-119.7987,301.0,2024-03-29
44.3741,-119.0449,309.7,2024-03-30
45.7279,-119.8823,305.6,2024-03-31
46.2886,-118.1352,323.4,2024-04-01
46.2875,-118.1432,329.0,2024-04-01
43.1589,-124.1485,302.9,2024-04-01
44.015,-119.609,309.5,2024-04-01
45.3669,-120.0429,326.0,2024-04-02
45.2269,-123.1701,306.9,2024-04-02
42.8925,-120.8092,310.4,2024-04-02
44.0131,-119.5991,310.4,2024-04-02
44.0151,-119.6115,343.7,2024-04-02
44.024,-119.6088,315.8,2024-04-02
43.8222,-117.0048,324.5,2024-04-02
43.8216,-116.9991,319.8,2024-04-02
42.6089,-122.8232,306.7,2024-04-02
42.0029,-121.5038,318.2,2024-04-02
41.9923,-121.5064,318.4,2024-04-02
43.405,-116.7103,310.5,2024-04-02
43.8184,-117.0064,314.1,2024-04-02
43.9054,-117.2943,317.6,2024-04-02
43.9019,-117.3119,322.4,2024-04-02
43.8972,-117.5019,311.8,2024-04-02
44.0043,-119.6222,308.2,2024-04-02
44.0158,-119.6279,317.4,2024-04-02
44.9731,-118.0261,313.9,2024-04-02
46.1433,-118.5555,307.5,2024-04-09
45.2285,-123.1641,302.5,2024-04-10
43.522,-116.5748,302.4,2024-04-10
44.3028,-121.6092,300.5,2024-04-10
44.2983,-121.5882,304.4,2024-04-10
43.8081,-117.1527,322.5,2024-04-10
44.3034,-120.6314,311.5,2024-04-10
44.2992,-121.6073,304.7,2024-04-10
45.2263,-123.1656,307.5,2024-04-10
45.8599,-121.5083,307.3,2024-04-10
43.8229,-117.0022,325.2,2024-04-11
43.817,-117.0094,331.5,2024-04-11
43.8153,-116.996,317.7,2024-04-11
43.4773,-119.42,313.2,2024-04-11
43.4654,-119.4052,319.5,2024-04-11
45.2264,-123.1612,303.6,2024-04-12
43.7329,-116.9041,322.5,2024-04-12
43.9047,-116.9941,321.8,2024-04-12
44.8639,-119.8632,307.7,2024-04-13
44.041,-117.2791,313.7,2024-04-14
44.0386,-117.2655,326.3,2024-04-14
45.2266,-123.1607,307.1,2024-04-17
45.1669,-122.4729,304.5,2024-04-17
46.0214,-119.9016,316.0,2024-04-17
41.9954,-118.5594,312.5,2024-04-17
41.9936,-118.5669,311.0,2024-04-17
42.4294,-122.8721,306.7,2024-04-17
44.6319,-120.8065,312.8,2024-04-17
45.23,-123.1628,311.8,2024-04-19
43.6048,-116.5651,311.6,2024-04-19
43.9382,-116.7092,308.5,2024-04-19
46.2753,-116.5742,309.4,2024-04-19
43.8899,-124.1263,300.1,2024-04-21
46.1605,-119.0512,323.6,2024-04-21
46.1581,-119.0303,351.6,2024-04-21
45.2592,-122.7622,303.2,2024-04-22
45.3633,-122.8174,304.9,2024-04-22
45.2733,-122.4994,306.0,2024-04-22
45.2703,-122.4837,313.7,2024-04-22
43.0112,-121.478,304.2,2024-04-22
44.8916,-116.4733,326.9,2024-04-22
43.0082,-121.4722,321.9,2024-04-22
43.0171,-121.4749,318.5,2024-04-22
44.3569,-119.0107,319.1,2024-04-22
45.2626,-122.5014,301.8,2024-04-22
46.2705,-116.4678,315.9,2024-04-23
46.2674,-116.4732,314.2,2024-04-23
42.143,-123.0594,318.5,2024-04-23
42.1347,-123.054,325.9,2024-04-23
42.1447,-123.0403,320.8,2024-04-23
43.7115,-121.4016,417.8,2024-04-24
43.7205,-121.3989,388.6,2024-04-24
43.7095,-121.389,344.7,2024-04-24
43.7074,-121.3765,305.4,2024-04-24
43.7184,-121.3863,325.6,2024-04-24
45.0999,-118.3513,322.0,2024-04-24
43.7071,-121.401,310.4,2024-04-24
43.7173,-121.405,351.5,2024-04-24
43.7138,-121.4226,352.6,2024-04-24
44.6698,-118.2477,324.3,2024-04-24
44.6788,-118.2506,327.1,2024-04-24
45.102,-118.3384,303.9,2024-04-24
45.0151,-122.7377,315.7,2024-04-24
45.8593,-121.507,320.5,2024-05-01
42.0682,-119.9926,309.3,2024-05-01
42.9486,-116.9742,353.2,2024-05-01
43.0142,-121.4542,357.2,2024-05-01
43.0175,-121.4604,344.2,2024-05-01
42.628,-121.7935,318.9,2024-05-01
42.1352,-123.5916,304.1,2024-05-02
42.1312,-123.6022,304.5,2024-05-02
42.6113,-122.966,323.8,2024-05-02
46.2831,-119.82,322.3,2024-05-02
44.2979,-121.1279,309.8,2024-05-03
42.0542,-119.9509,321.0,2024-05-03
43.0322,-121.4611,308.4,2024-05-03
42.0558,-119.965,320.3,2024-05-03
43.8677,-121.4083,307.2,2024-05-08
43.8701,-121.3838,304.4,2024-05-08
43.8629,-121.4134,303.6,2024-05-08
45.8052,-118.1151,302.7,2024-05-09
45.2245,-123.1666,312.1,2024-05-09
43.5889,-119.0834,310.5,2024-05-09
44.0766,-121.4033,323.2,2024-05-09
43.0088,-121.4951,335.1,2024-05-09
43.0049,-121.4756,323.6,2024-05-09
42.9837,-121.4758,331.2,2024-05-09
42.9819,-121.4877,336.9,2024-05-09
43.0064,-121.4447,319.1,2024-05-09
43.0047,-121.4567,367.2,2024-05-09
43.0029,-121.4686,329.6,2024-05-09
43.0151,-121.4471,328.1,2024-05-09
43.0134,-121.4591,354.7,2024-05-09
43.0117,-121.471,331.5,2024-05-09
43.0099,-121.483,339.8,2024-05-09
43.0082,-121.4949,330.2,2024-05-09
43.0187,-121.4854,368.5,2024-05-09
43.017,-121.4973,344.0,2024-05-09
43.3035,-123.0283,311.9,2024-05-09
43.8616,-121.4853,315.5,2024-05-09
43.8599,-121.4974,322.0,2024-05-09
44.0764,-121.4049,325.4,2024-05-09
44.0869,-121.3951,324.8,2024-05-09
44.0852,-121.4074,371.9,2024-05-09
44.0834,-121.4196,329.8,2024-05-09
44.8132,-116.5537,314.2,2024-05-10
43.3745,-121.221,307.7,2024-05-11
42.9837,-121.4903,328.0,2024-05-11
44.8935,-116.4946,317.2,2024-05-11
44.9203,-116.5019,321.6,2024-05-11
44.9292,-116.5044,336.6,2024-05-11
45.4352,-117.344,330.8,2024-05-11
43.0045,-121.4811,326.3,2024-05-12
42.9993,-121.4786,323.3,2024-05-12
43.015,-121.5217,313.1,2024-05-12
43.01,-121.519,314.3,2024-05-12
42.9868,-121.525,374.4,2024-05-12
42.9903,-121.4869,327.1,2024-05-12
42.9886,-121.5059,350.3,2024-05-12
43.0014,-121.4887,327.6,2024-05-12
42.9996,-121.5078,383.8,2024-05-12
42.9977,-121.527,383.3,2024-05-12
43.0124,-121.4906,327.9,2024-05-12
43.0105,-121.5099,377.4,2024-05-12
43.0087,-121.529,349.3,2024-05-12
43.0252,-121.4735,333.7,2024-05-12
43.0234,-121.4926,347.2,2024-05-12
43.014,-121.4978,338.6,2024-05-12
43.0123,-121.5172,350.3,2024-05-12
43.0267,-121.4805,347.3,2024-05-12
43.025,-121.4999,332.3,2024-05-12
43.0027,-121.5274,303.3,2024-05-13
45.2935,-122.2071,306.5,2024-05-13
44.2348,-121.5564,333.4,2024-05-13
44.2331,-121.5432,317.9,2024-05-13
42.5084,-121.8131,368.8,2024-05-13
42.5454,-121.8844,318.2,2024-05-13
43.0061,-116.9222,338.1,2024-05-13
42.4118,-121.1434,318.7,2024-05-13
42.4145,-121.1518,314.4,2024-05-13
42.5061,-121.8173,321.9,2024-05-13
44.891,-116.4672,328.1,2024-05-13
44.8886,-116.4808,321.1,2024-05-13
42.1597,-123.0562,307.5,2024-05-14
42.9679,-116.8626,313.7,2024-05-14
42.9527,-116.8698,315.8,2024-05-14
42.9377,-116.8773,320.8,2024-05-14
42.96,-116.8742,324.2,2024-05-14
42.9449,-116.8817,319.8,2024-05-14
44.0034,-121.4293,317.2,2024-05-14
43.9983,-121.4056,315.7,2024-05-14
42.8088,-116.8593,329.0,2024-05-14
42.7974,-116.8164,333.9,2024-05-14
42.794,-116.868,309.8,2024-05-14
42.7826,-116.8253,312.5,2024-05-14
43.3729,-121.7573,309.7,2024-05-14
43.3681,-121.7658,310.0,2024-05-14
42.421,-121.1371,315.7,2024-05-14
42.964,-116.866,341.1,2024-05-14
42.9622,-116.8865,378.5,2024-05-14
42.5474,-123.4706,309.9,2024-05-14
42.8547,-122.4857,325.2,2024-05-14
43.0159,-121.4792,328.5,2024-05-14
43.0142,-121.4919,329.0,2024-05-14
43.0249,-121.4814,330.3,2024-05-14
43.3667,-121.7595,319.9,2024-05-14
43.365,-121.7721,333.7,2024-05-14
43.374,-121.7744,330.8,2024-05-14
44.0004,-121.4177,325.2,2024-05-14
43.9987,-121.431,333.8,2024-05-14
43.3757,-121.7617,336.7,2024-05-14
42.7972,-116.8273,320.4,2024-05-14
42.7954,-116.8477,323.0,2024-05-14
42.8086,-116.8288,334.7,2024-05-14
42.8199,-116.8303,333.0,2024-05-14
42.4157,-121.1374,330.4,2024-05-14
42.1537,-123.0638,313.7,2024-05-14
42.4248,-121.1394,320.2,2024-05-14
42.1624,-123.0662,346.0,2024-05-14
42.1607,-123.078,343.6,2024-05-14
42.9396,-116.8827,319.4,2024-05-14
42.9527,-116.8638,322.1,2024-05-14
42.9509,-116.8848,354.9,2024-05-14
44.9009,-116.4857,328.3,2024-05-14
44.9128,-116.4875,359.9,2024-05-14
44.9108,-116.5125,336.1,2024-05-14
44.9245,-116.4912,318.6,2024-05-14
44.4454,-121.6714,314.2,2024-05-14
46.0712,-118.818,337.5,2024-05-14
44.0056,-121.4208,330.5,2024-05-15
46.0453,-121.2596,326.7,2024-05-15
46.0366,-121.2682,317.7,2024-05-15
46.0348,-121.2464,308.1,2024-05-15
45.6964,-118.8266,319.8,2024-05-15
45.6947,-118.8103,324.1,2024-05-15
45.6848,-118.8125,327.7,2024-05-15
44.0073,-121.4408,320.6,2024-05-15
43.9944,-121.4228,314.8,2024-05-15
42.779,-116.8851,347.7,2024-05-15
42.7775,-116.8729,318.2,2024-05-15
44.9042,-116.4741,302.3,2024-05-15
44.012,-121.4097,314.8,2024-05-15
44.0026,-121.4457,320.4,2024-05-15
44.0101,-121.4166,321.9,2024-05-15
44.0006,-121.4524,315.3,2024-05-15
46.069,-118.8156,318.6,2024-05-15
46.0356,-121.2879,309.4,2024-05-15
42.6581,-116.8924,341.0,2024-05-16
42.6745,-116.9174,346.9,2024-05-16
42.6693,-116.8935,325.4,2024-05-16
42.6624,-116.922,346.4,2024-05-16
42.6571,-116.8979,350.9,2024-05-16
42.6704,-116.888,322.2,2024-05-16
42.6635,-116.9164,359.9,2024-05-16
44.1447,-123.0567,310.6,2024-05-16
42.8279,-116.8614,340.3,2024-05-16
42.8224,-116.837,351.0,2024-05-16
42.8267,-116.8674,320.6,2024-05-16
44.3582,-120.29,316.8,2024-05-16
42.8213,-116.8429,357.3,2024-05-16
46.0294,-121.2456,319.0,2024-05-16
46.0318,-121.2596,309.8,2024-05-16
42.6757,-116.9119,355.9,2024-05-16
43.6141,-123.3482,310.0,2024-05-16
42.5055,-120.5967,322.8,2024-05-16
42.5023,-120.58,323.4,2024-05-16
42.6532,-121.8029,324.9,2024-05-16
42.6508,-121.7888,346.4,2024-05-16
42.1442,-122.7507,310.6,2024-05-16
42.1419,-122.7368,313.6,2024-05-16
43.2974,-122.3374,311.7,2024-05-16
42.6634,-116.9131,437.3,2024-05-16
42.6467,-116.896,360.5,2024-05-16
42.6452,-116.9087,347.8,2024-05-16
42.6574,-116.8856,356.5,2024-05-16
42.6559,-116.8981,436.9,2024-05-16
42.6543,-116.9109,402.7,2024-05-16
42.6527,-116.9236,333.4,2024-05-16
42.6666,-116.8876,411.0,2024-05-16
42.665,-116.9004,504.9,2024-05-16
42.6618,-116.9258,326.2,2024-05-16
42.6741,-116.9027,359.3,2024-05-16
42.6725,-116.9152,341.8,2024-05-16
42.6709,-116.928,334.5,2024-05-16
42.8085,-116.8593,363.9,2024-05-16
42.8069,-116.8723,361.4,2024-05-16
42.817,-116.8545,325.1,2024-05-16
42.8154,-116.8675,365.2,2024-05-16
42.8138,-116.8805,324.9,2024-05-16
42.4891,-120.5948,330.3,2024-05-16
42.4999,-120.5852,361.8,2024-05-16
42.498,-120.5972,356.2,2024-05-16
42.1431,-122.7357,310.3,2024-05-16
42.1407,-122.7486,318.7,2024-05-16
42.5004,-122.4149,312.3,2024-05-16
42.5098,-122.418,313.7,2024-05-16
42.6388,-121.781,323.1,2024-05-16
42.6366,-121.7939,340.8,2024-05-16
42.6448,-121.7896,376.1,2024-05-16
42.6425,-121.8026,339.1,2024-05-16
42.6539,-121.7924,323.8,2024-05-16
43.013,-121.4894,331.1,2024-05-16
43.2961,-122.3438,312.4,2024-05-16
44.001,-121.4348,318.8,2024-05-16
44.3559,-120.2957,325.5,2024-05-16
44.3974,-120.2762,320.0,2024-05-16
44.4061,-120.2788,352.7,2024-05-16
44.4043,-120.291,331.0,2024-05-16
44.4149,-120.2813,324.3,2024-05-16
45.2971,-123.0628,310.2,2024-05-16
46.021,-121.2609,314.7,2024-05-16
46.023,-121.2482,319.0,2024-05-16
45.6326,-121.1485,302.5,2024-05-17
42.4894,-120.5765,315.2,2024-05-17
42.4967,-120.5695,309.3,2024-05-17
42.483,-120.5713,309.3,2024-05-17
42.6618,-121.7559,301.7,2024-05-17
42.4881,-120.5951,318.5,2024-05-17
44.176,-122.075,308.5,2024-05-17
44.1709,-122.0676,309.0,2024-05-17
46.0238,-121.2748,307.8,2024-05-17
46.0244,-121.2529,308.2,2024-05-17
46.0344,-121.2552,322.5,2024-05-18
46.0256,-121.2576,316.6,2024-05-18
42.9997,-116.9379,413.9,2024-05-18
42.997,-116.9233,344.2,2024-05-18
42.9985,-116.9442,383.0,2024-05-18
42.9958,-116.9293,374.5,2024-05-18
43.0258,-116.914,343.7,2024-05-18
42.9889,-116.9473,326.1,2024-05-18
42.9862,-116.9323,355.3,2024-05-18
42.9792,-116.9502,337.1,2024-05-18
42.9766,-116.9354,326.1,2024-05-18
42.5156,-120.5904,337.6,2024-05-18
42.5086,-120.6046,343.3,2024-05-18
42.5068,-120.5928,341.5,2024-05-18
42.6716,-121.8026,351.9,2024-05-18
42.67,-121.7907,337.3,2024-05-18
43.0093,-116.9348,338.7,2024-05-18
43.0024,-116.9529,344.5,2024-05-18
43.012,-116.9497,340.1,2024-05-18
42.9792,-116.9392,324.2,2024-05-18
42.9902,-116.9294,328.3,2024-05-18
42.9881,-116.9418,403.5,2024-05-18
42.9861,-116.9542,428.7,2024-05-18
42.9841,-116.9668,321.0,2024-05-18
42.9971,-116.9444,377.1,2024-05-18
42.995,-116.9569,396.1,2024-05-18
43.0062,-116.9396,316.8,2024-05-18
43.0041,-116.9519,354.1,2024-05-18
43.0021,-116.9646,327.6,2024-05-18
43.0171,-116.9299,317.7,2024-05-18
43.0151,-116.9423,335.4,2024-05-18
42.5078,-120.6027,375.3,2024-05-18
42.5043,-120.6203,350.1,2024-05-18
42.1124,-122.7109,305.1,2024-05-18
42.1134,-122.9987,307.6,2024-05-18
42.1079,-123.0238,304.9,2024-05-18
42.1155,-123.007,311.3,2024-05-18
42.6648,-121.7971,307.8,2024-05-18
46.0283,-121.2733,324.2,2024-05-18
46.0216,-121.2528,318.5,2024-05-18
46.0315,-121.2567,333.1,2024-05-18
43.1527,-123.3834,303.5,2024-05-18
44.5348,-116.9876,310.6,2024-05-18
44.5328,-117.0001,323.1,2024-05-18
44.5416,-117.0027,342.0,2024-05-18
44.5497,-117.003,307.0,2024-05-19
46.2422,-118.8959,338.9,2024-05-19
44.4588,-121.6334,315.1,2024-05-20
43.9617,-121.4309,322.6,2024-05-20
43.9641,-121.451,316.1,2024-05-20
43.9712,-121.4223,318.6,2024-05-20
45.9058,-119.1473,325.3,2024-05-20
42.1004,-123.0032,315.4,2024-05-21
43.8373,-122.6388,323.1,2024-05-21
43.154,-123.3693,307.0,2024-05-21
42.5924,-122.4989,306.2,2024-05-21
42.0903,-120.3596,305.6,2024-05-21
42.4302,-122.8678,316.4,2024-05-21
42.101,-122.9964,331.0,2024-05-21
42.0979,-122.9886,320.2,2024-05-21
42.5883,-122.5047,317.3,2024-05-21
42.3913,-123.5817,313.6,2024-05-21
42.5863,-122.5168,311.5,2024-05-21
43.7736,-118.7565,313.5,2024-05-21
43.772,-118.7699,341.2,2024-05-21
43.803,-118.7496,338.3,2024-05-21
43.8576,-121.3879,336.3,2024-05-23
43.8594,-121.4,345.5,2024-05-23
42.6087,-122.4082,306.3,2024-05-23
42.6069,-122.3964,324.1,2024-05-23
42.5034,-121.8214,338.2,2024-05-23
42.5016,-121.8095,314.2,2024-05-23
43.2842,-121.8243,321.7,2024-05-23
42.9955,-123.0356,309.7,2024-05-23
42.2206,-122.9579,321.4,2024-05-23
42.5059,-121.8313,342.2,2024-05-23
42.5026,-121.848,321.3,2024-05-23
42.6038,-122.403,316.2,2024-05-23
43.292,-121.8199,321.4,2024-05-23
43.8507,-121.3948,338.7,2024-05-23
43.8479,-121.41,328.5,2024-05-23
43.8603,-121.3982,304.3,2024-05-23
44.277,-120.8904,317.0,2024-05-23
43.917,-123.0166,305.6,2024-05-23
42.5109,-121.8199,305.3,2024-05-24
42.5093,-121.8324,313.3,2024-05-24
42.5356,-121.8844,346.3,2024-05-28
42.6619,-121.7496,320.6,2024-05-29
43.813,-118.7543,314.7,2024-05-29
42.6283,-116.8854,382.9,2024-05-30
42.6374,-116.8827,320.2,2024-05-30
45.787,-118.6568,319.6,2024-05-30
45.3585,-120.6883,322.0,2024-05-30
43.6103,-116.5628,314.9,2024-05-30
42.0943,-120.3546,310.6,2024-05-30
42.6302,-116.8782,361.6,2024-05-30
42.628,-116.8911,327.1,2024-05-30
42.6414,-116.8681,339.6,2024-05-30
42.6393,-116.8809,354.2,2024-05-30
42.8962,-116.7381,338.6,2024-05-30
43.9954,-118.8046,320.2,2024-05-30
44.0022,-118.8227,319.6,2024-05-30
43.5885,-124.1985,302.2,2024-05-30
42.6324,-116.8651,331.5,2024-05-30
43.9977,-118.8176,308.5,2024-05-31
44.0068,-118.8198,302.5,2024-05-31
42.6682,-116.9285,324.3,2024-05-31
45.7658,-123.2554,350.7,2024-05-31
42.6737,-116.9079,328.2,2024-05-31
45.7691,-123.2721,337.2,2024-05-31
42.6847,-116.9497,318.2,2024-05-31
42.6665,-116.9044,324.6,2024-05-31
42.6777,-116.9459,322.9,2024-05-31
45.2255,-123.1656,311.5,2024-05-31
45.7596,-123.2632,324.5,2024-05-31
45.7697,-123.2597,343.6,2024-05-31
43.3023,-122.3581,308.5,2024-05-31
42.6822,-116.9214,343.1,2024-05-31
45.7583,-123.2842,306.3,2024-05-31
42.5266,-122.4114,316.4,2024-05-31
42.5251,-122.424,328.4,2024-05-31
44.1671,-122.0865,312.9,2024-05-31
44.1765,-122.0884,333.3,2024-05-31
44.4954,-123.3692,316.3,2024-05-31
45.76,-123.2706,351.9,2024-05-31
45.7617,-123.2571,311.8,2024-05-31
44.4938,-123.3823,348.7,2024-05-31
43.9075,-123.4869,303.5,2024-06-01
43.9031,-123.4794,304.8,2024-06-01
43.9091,-123.463,311.3,2024-06-01
43.4666,-116.5751,312.6,2024-06-04
42.6895,-116.9535,337.5,2024-06-05
42.6937,-116.9834,320.6,2024-06-05
42.6918,-116.9464,332.3,2024-06-05
42.4497,-116.9153,329.7,2024-06-05
42.7036,-116.9593,319.1,2024-06-05
42.4598,-116.938,324.1,2024-06-05
42.4466,-116.8902,317.9,2024-06-05
42.4611,-116.9304,322.9,2024-06-05
42.7006,-116.9647,325.9,2024-06-05
42.6944,-116.9555,328.3,2024-06-05
42.4401,-116.9399,337.1,2024-06-05
42.4536,-116.9423,341.4,2024-06-05
42.4518,-116.9704,348.2,2024-06-05
42.4672,-116.9436,323.9,2024-06-05
42.4653,-116.9717,359.3,2024-06-05
42.4604,-116.9474,341.1,2024-06-05
42.4588,-116.9753,356.4,2024-06-05
42.6926,-116.9841,331.9,2024-06-05
43.9063,-124.1283,305.4,2024-06-05
43.0101,-123.6975,320.2,2024-06-07
42.6904,-116.9253,334.8,2024-06-07
45.2252,-121.3728,321.4,2024-06-07
44.5564,-123.1075,310.8,2024-06-07
44.6184,-123.5855,335.6,2024-06-07
44.6162,-123.5722,355.8,2024-06-07
44.6139,-123.5589,308.1,2024-06-07
44.6093,-123.5885,312.8,2024-06-07
44.6071,-123.5751,334.9,2024-06-07
42.6974,-116.9544,354.1,2024-06-07
42.6842,-116.959,332.5,2024-06-07
42.7034,-116.9591,327.5,2024-06-07
42.6901,-116.9635,337.8,2024-06-07
42.6834,-116.9347,331.2,2024-06-07
42.501,-123.3685,315.7,2024-06-07
42.6828,-116.9532,349.0,2024-06-07
42.6741,-116.9337,335.2,2024-06-07
42.6933,-116.9554,337.4,2024-06-07
42.6845,-116.9363,383.6,2024-06-07
44.6141,-123.5771,313.7,2024-06-07
45.2231,-121.3686,372.3,2024-06-07
45.2248,-121.3555,347.4,2024-06-07
42.687,-116.9426,338.7,2024-06-08
42.6887,-116.9592,338.0,2024-06-08
42.6988,-116.9571,326.1,2024-06-08
44.6228,-123.5988,377.1,2024-06-10
44.6176,-123.575,323.6,2024-06-10
44.6111,-123.604,311.6,2024-06-10
43.3065,-122.3648,306.9,2024-06-10
43.3124,-122.3678,307.8,2024-06-10
43.3078,-122.3503,319.4,2024-06-10
43.306,-122.3696,344.1,2024-06-10
42.926,-116.9887,328.1,2024-06-11
42.4674,-116.9291,303.3,2024-06-12
44.9556,-122.7069,304.7,2024-06-12
45.7917,-122.4835,306.9,2024-06-12
45.2282,-123.17,313.6,2024-06-12
44.4024,-122.7067,307.4,2024-06-12
42.9044,-116.7464,332.7,2024-06-12
45.2238,-123.1668,320.0,2024-06-12
42.4465,-116.9335,328.8,2024-06-12
42.8927,-116.7435,337.8,2024-06-12
45.3657,-116.5033,311.4,2024-06-12
42.4578,-116.9361,344.5,2024-06-13
