latitude,longitude,brightness,frp,frp_category,acq_date
34.332,-105.8161,305.3,35.8,2,2024-01-06
36.9929,-104.8735,310.5,14.6,1,2024-01-09
36.9806,-104.8447,314.0,17.8,1,2024-01-09
32.8326,-104.3568,310.8,15.9,1,2024-01-11
32.1691,-107.7695,313.9,8.6,1,2024-01-14
32.1617,-107.7559,362.2,101.8,3,2024-01-14
32.1598,-107.7673,323.2,19.0,1,2024-01-14
33.2044,-104.411,301.6,7.8,1,2024-01-16
35.6417,-105.2062,305.6,9.8,1,2024-01-16
35.3654,-106.5072,300.8,6.6,1,2024-01-26
34.2909,-106.0862,303.8,21.7,2,2024-01-29
34.287,-106.0949,301.4,15.2,1,2024-01-29
34.2899,-106.0995,321.2,45.1,2,2024-01-30
32.3429,-106.8689,332.0,29.3,2,2024-01-31
36.4645,-104.6449,347.2,62.7,3,2024-02-04
36.4605,-104.6247,385.3,199.6,3,2024-02-04
36.4585,-104.6366,421.3,465.7,3,2024-02-04
36.4685,-104.6211,315.8,14.4,1,2024-02-04
33.5009,-103.8753,310.5,20.9,2,2024-02-05
33.5205,-103.8481,307.2,15.0,1,2024-02-05
32.6295,-105.6959,304.2,15.7,1,2024-02-05
33.4974,-103.8389,318.1,33.6,2,2024-02-05
33.4953,-103.8636,315.2,25.2,2,2024-02-05
33.4918,-103.8501,310.6,37.3,2,2024-02-08
33.4839,-103.8843,307.4,25.1,2,2024-02-08
33.4894,-103.8565,310.2,36.5,2,2024-02-08
33.4735,-105.5932,306.9,9.7,1,2024-02-09
33.4753,-105.5822,317.6,18.5,1,2024-02-09
34.7454,-106.664,319.7,14.3,1,2024-02-09
32.3191,-106.8595,312.0,8.6,1,2024-02-12
34.0955,-105.4532,303.6,63.9,3,2024-02-13
34.0946,-105.4588,301.9,51.6,3,2024-02-13
34.0911,-105.4587,344.8,233.5,3,2024-02-13
34.0978,-105.4299,313.7,50.3,3,2024-02-13
34.081,-105.4802,310.6,42.9,2,2024-02-13
34.0876,-105.4507,358.7,377.2,3,2024-02-13
33.4072,-104.5883,307.6,29.3,2,2024-02-13
33.4183,-104.5905,358.1,83.0,3,2024-02-14
33.4168,-104.5799,323.0,21.5,2,2024-02-14
32.0255,-104.3266,341.0,39.8,2,2024-02-14
32.0184,-104.3541,320.0,9.3,1,2024-02-14
33.3497,-104.4359,307.6,4.4,1,2024-02-14
33.4126,-104.5917,327.9,24.6,2,2024-02-14
33.8066,-108.9356,302.6,7.2,1,2024-02-14
35.8265,-106.5395,314.2,17.7,1,2024-02-14
32.1155,-103.971,315.3,9.9,1,2024-02-19
32.1137,-103.9599,311.3,5.9,1,2024-02-19
33.4847,-103.8206,324.6,75.5,3,2024-02-20
33.4778,-103.8509,361.9,410.8,3,2024-02-20
33.4709,-103.8814,326.9,85.6,3,2024-02-20
32.6099,-103.3041,300.7,9.8,1,2024-02-23
32.1436,-104.0052,310.1,5.5,1,2024-02-24
34.7247,-106.7184,320.9,13.8,1,2024-02-28
35.1999,-103.1007,319.2,12.1,1,2024-02-28
34.7213,-106.7257,322.4,16.2,1,2024-02-28
34.7223,-106.7313,315.0,7.1,1,2024-02-28
34.6446,-106.7659,322.2,15.1,1,2024-03-02
36.284,-106.4978,300.0,7.6,1,2024-03-03
34.3751,-106.823,310.9,7.5,1,2024-03-05
34.8625,-106.6752,318.5,32.7,2,2024-03-05
35.3079,-103.864,301.0,10.4,1,2024-03-06
35.3392,-103.7134,320.8,12.5,1,2024-03-07
35.3414,-103.7845,386.4,192.7,3,2024-03-07
35.3395,-103.773,359.5,86.3,3,2024-03-07
